kabupaten,kecamatan,x1_banjir,x2_angin,x3_gempa,x4_longsor,x5_kebakaran,latitude,longitude,cluster
kabupaten garut,pasirwangi,0.0066445182724252,0.0185185185185185,0.0576368876080691,0.2254335260115607,0.0,-7.215768,107.803976,0
kabupaten garut,peundeuy,0.0,0.0,0.0893371757925072,0.3526011560693641,0.0769230769230769,-7.527353,107.887584,0
kabupaten garut,samarang,0.0132890365448504,0.0925925925925925,0.0345821325648414,0.0404624277456647,0.0,-7.2163671,107.8381696,0
kabupaten garut,selaawi,0.0166112956810631,0.0925925925925925,0.0014409221902017,0.2023121387283236,0.1538461538461538,-7.0130521,108.0298808,0
kabupaten garut,singajaya,0.0132890365448504,0.0,0.0100864553314121,0.2023121387283236,0.2307692307692307,-7.452554,107.937442,0
kabupaten garut,sucinaraja,0.0,0.0555555555555555,0.0,0.0867052023121387,0.0,-7.2148828,108.0026362,0
kabupaten garut,sukaresmi,0.0265780730897009,0.0,0.0086455331412103,0.1387283236994219,0.0256410256410256,-7.251793,107.758429,0
kabupaten garut,sukawening,0.0265780730897009,0.1111111111111111,0.0533141210374639,0.1791907514450867,0.0769230769230769,-7.136744,107.998649,0
kabupaten garut,talegong,0.0,0.0,0.0,0.1271676300578034,0.1025641025641025,-7.29267,107.533429,0
kabupaten garut,tarogong kaler,0.1960132890365448,0.4629629629629629,0.0374639769452449,0.1849710982658959,0.2307692307692307,-7.19353,107.876527,0
kabupaten garut,tarogong kidul,0.0033222591362126,0.0,0.0,0.0115606936416184,0.0,-7.216307,107.881229,0
kabupaten garut,wanaraja,0.0564784053156146,0.0,0.0187319884726224,0.0404624277456647,0.0,-7.1732146,107.9816913,0
kabupaten indramayu,anjatan,0.0764119601328903,0.3518518518518518,0.0,0.0,0.0,-6.3438972,107.9561819,0
kabupaten indramayu,arahan,0.0099667774086378,0.0,0.0,0.0,0.0,-6.3621375,108.2734563,0
kabupaten indramayu,balongan,0.0066445182724252,0.0185185185185185,0.0,0.0,0.0,-6.3577966,108.3803792,0
kabupaten indramayu,bangodua,0.0299003322259136,0.0555555555555555,0.0,0.0,0.0,-6.5390839,108.337827,0
kabupaten indramayu,bongas,0.0299003322259136,0.0,0.0,0.0,0.0,-6.3782304,108.00873,0
kabupaten indramayu,cantigi,0.132890365448505,0.074074074074074,0.0,0.0,0.0,-6.3467256,108.2514539,0
kabupaten indramayu,cikedung,0.0033222591362126,0.0,0.0,0.0,0.0,-6.4923702,108.1765582,0
kabupaten indramayu,gabuswetan,0.0166112956810631,0.0,0.0,0.0115606936416184,0.0,-6.4223706,108.0804309,0
kabupaten indramayu,gantar,0.0099667774086378,0.4074074074074074,0.0,0.0173410404624277,0.0512820512820512,-6.515937,107.9752864,0
kabupaten indramayu,haurgeulis,0.0598006644518272,0.3148148148148147,0.0,0.0,0.1538461538461538,-6.4603583,107.9432936,0
kabupaten indramayu,indramayu,0.0697674418604651,0.0555555555555555,0.0,0.0,0.0,-6.476394,108.312126,0
kabupaten indramayu,jatibarang,0.0099667774086378,0.0,0.0,0.0,0.0,-6.4746712,108.3035213,0
kabupaten indramayu,juntinyuat,0.0066445182724252,0.3518518518518518,0.0028818443804034,0.0,0.0256410256410256,-6.4317505,108.4373443,0
